楼盘,区域,地址,朝向,房型,面积,层高,建造年份,单价,总价,优势1,优势2,优势3
阳光100阿尔勒二期,巴南,大山村,北,3室2厅2卫,142.39㎡,共2层,2018年建造,12642元/㎡,180万,满二年,近地铁,
远洋高尔夫国际社区果岭洋楼,巴南,大山村,北,4室2厅2卫,233.01㎡,共5层,2016年建造,8155元/㎡,190万,近地铁,绿化率高,
中交锦悦御蓝湾,巴南,大山村,北,4室2厅2卫,144.97㎡,共2层,2017年建造,12072元/㎡,175万,近地铁,,满二年
远洋高尔夫国际社区果岭洋楼,巴南,大山村,东,3室2厅2卫,120.27㎡,中层(共18层),2016年建造,10810元/㎡,130万,近地铁,绿化率高,满二年
阳光100阿尔勒二期,巴南,大山村,东,4室2厅2卫,137㎡,共4层,2017年建造,12263元/㎡,168万,近地铁,车位充足,有电梯
原山小院浔屿,巴南,大山村,东,2室2厅2卫,135.99㎡,共5层,2023年建造,12648元/㎡,172万,近地铁,车位充足,满二年
阳光100阿尔勒二期,巴南,大山村,东,3室2厅2卫,98㎡,高层(共8层),2018年建造,11531元/㎡,113万,近地铁,车位充足,
中交锦悦御蓝湾,巴南,大山村,东,3室2厅2卫,88.56㎡,低层(共32层),2017年建造,11744元/㎡,104万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,东,3室2厅2卫,150㎡,共2层,2017年建造,13067元/㎡,196万,近地铁,,满二年
中交锦悦御蓝湾,巴南,大山村,东,3室2厅2卫,100.59㎡,高层(共32层),2017年建造,11433元/㎡,115万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,东,3室2厅2卫,88.56㎡,低层(共32层),2017年建造,10039元/㎡,88.9万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,东,3室2厅2卫,88.68㎡,低层(共32层),2017年建造,10149元/㎡,90万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,东,3室2厅2卫,88.68㎡,高层(共32层),2017年建造,10262元/㎡,91万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,东,3室2厅2卫,88.56㎡,高层(共32层),2017年建造,10050元/㎡,89万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,东,2室2厅2卫,72.85㎡,低层(共32层),2017年建造,11668元/㎡,85万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,东,2室2厅2卫,72.85㎡,高层(共32层),2017年建造,10707元/㎡,78万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,东,4室2厅2卫,124.3㎡,高层(共32层),2017年建造,8931元/㎡,111万,近地铁,,
浣溪锦云,巴南,大山村,东,3室2厅2卫,99㎡,高层(共8层),2020年建造,10910元/㎡,108万,车位充足,,满二年
浣溪锦云,巴南,大山村,东,3室2厅2卫,99.23㎡,中层(共16层),2021年建造,10280元/㎡,102万,车位充足,,满二年
远洋高尔夫国际社区果岭洋楼,巴南,大山村,东北,2室2厅2卫,95㎡,高层(共18层),2016年建造,12632元/㎡,120万,近地铁,绿化率高,满二年
中交锦悦御蓝湾,巴南,大山村,东北,4室2厅2卫,111.94㎡,中层(共32层),2017年建造,9005元/㎡,100.8万,近地铁,,满五年
中交锦悦御蓝湾,巴南,大山村,东北,3室2厅2卫,100.35㎡,高层(共32层),2017年建造,12457元/㎡,125万,近地铁,,
中交锦悦御蓝湾,巴南,大山村,东北,4室2厅2卫,123.45㎡,低层(共32层),2017年建造,9316元/㎡,115万,近地铁,,
远洋高尔夫国际社区果岭洋楼,巴南,大山村,东南,2室2厅2卫,95.56㎡,高层(共18层),2014年建造,10256元/㎡,98万,近地铁,绿化率高,满二年
中交锦悦御蓝湾,巴南,大山村,东南,3室2厅2卫,100.35㎡,中层(共30层),2019年建造,10265元/㎡,103万,近地铁,次新房,满二年
阳光100阿尔勒二期,巴南,大山村,东南,3室2厅2卫,142.26㎡,共2层,2018年建造,10545元/㎡,150万,近地铁,车位充足,满二年
